,City,Code.1,Code.2,a. Index of Multiple Deprivation (IMD),b. Income Deprivation Domain,c. Employment Deprivation Domain,"d. Education, Skills and Training Domain",e. Health Deprivation and Disability Domain,f. Crime Domain,g. Barriers to Housing and Services Domain,h. Living Environment Deprivation Domain,i. Income Deprivation Affecting Children Index (IDACI),j. Income Deprivation Affecting Older People Index (IDAOPI),LSOA
229,Leeds,057B,E01011407,5,6,5,5,3,8,7,4,5,7,Leeds 057B
230,Leeds,057C,E01011408,6,7,5,7,5,5,9,4,7,8,Leeds 057C
231,Leeds,057D,E01011409,5,6,4,8,3,5,10,1,6,7,Leeds 057D
232,Leeds,057E,E01011410,7,10,7,6,6,9,2,7,10,10,Leeds 057E
233,Leeds,057F,E01011412,8,9,7,7,6,7,9,4,10,9,Leeds 057F
234,Leeds,058A,E01011331,3,5,4,5,2,1,9,1,6,3,Leeds 058A
235,Leeds,058B,E01011334,2,3,3,2,2,1,8,1,2,4,Leeds 058B
236,Leeds,058C,E01011336,1,2,1,1,1,1,6,2,2,2,Leeds 058C
237,Leeds,058D,E01011337,1,1,1,1,1,1,4,4,1,1,Leeds 058D
238,Leeds,059A,E01011281,2,3,3,1,2,1,5,5,2,4,Leeds 059A
239,Leeds,059B,E01011282,2,2,2,2,2,1,7,2,3,2,Leeds 059B
240,Leeds,059C,E01011283,1,1,1,1,1,1,5,4,1,3,Leeds 059C
241,Leeds,059D,E01011286,4,6,5,5,3,1,8,2,5,6,Leeds 059D
242,Leeds,059E,E01011295,1,2,2,2,1,1,6,2,2,3,Leeds 059E
243,Leeds,060A,E01011339,1,2,1,1,1,2,5,3,3,2,Leeds 060A
244,Leeds,060B,E01011340,1,1,2,1,1,1,5,2,1,2,Leeds 060B
245,Leeds,060C,E01011342,1,1,1,1,1,1,4,4,1,1,Leeds 060C
246,Leeds,060D,E01011346,1,1,1,1,1,1,2,3,1,2,Leeds 060D
247,Leeds,061A,E01011341,3,3,3,3,3,2,5,2,4,5,Leeds 061A
248,Leeds,061B,E01011343,3,3,2,3,2,3,5,4,4,4,Leeds 061B
249,Leeds,061C,E01011345,1,2,2,1,1,2,5,2,2,2,Leeds 061C
250,Leeds,061D,E01011666,5,7,6,5,5,2,9,4,8,7,Leeds 061D
251,Leeds,062A,E01011585,4,4,3,4,3,3,6,2,5,4,Leeds 062A
252,Leeds,062B,E01011587,6,8,7,9,6,4,10,1,10,7,Leeds 062B
253,Leeds,062C,E01011594,3,3,3,2,2,2,8,2,4,2,Leeds 062C
254,Leeds,062D,E01011596,9,9,9,9,8,7,8,3,10,8,Leeds 062D
255,Leeds,062E,E01011598,6,8,8,7,4,4,9,1,9,6,Leeds 062E
