Col.Number,Reference.Number,Easting,Northing,Number.of.Vehicles,Number.of.Casualties,Accident.Date,Time..24hr.,X1st.Road.Class,Road.Surface,Lighting.Conditions,Weather.Conditions,Casualty.Class,Casualty.Severity,Sex.of.Casualty,Age.of.Casualty,Type.of.Vehicle
2404,863409,430089,431274,2,1,19-Oct-09,1715,3,1,1,1,1,3,1,21,1
2423,870109,435088,435681,2,1,21-Oct-09,1820,6,1,4,1,1,3,1,47,1
2432,875409,430716,436746,2,1,22-Oct-09,1303,6,1,1,1,1,3,1,51,1
2439,878309,426136,440434,2,1,24-Oct-09,1420,6,1,1,1,1,3,1,42,1
2440,873609,424024,437714,2,1,25-Oct-09,1240,3,2,1,2,1,3,1,32,1
2450,885109,431978,431223,2,1,26-Oct-09,615,3,2,7,1,1,3,1,33,1
2453,892609,429169,431578,2,1,26-Oct-09,1830,6,1,4,1,1,3,1,28,1
2454,893309,430028,433372,2,1,26-Oct-09,45,6,1,7,1,1,3,1,24,1
2461,882909,428870,434835,2,1,27-Oct-09,2045,6,2,4,1,1,3,1,26,1
2480,883609,426604,436350,2,1,29-Oct-09,1220,6,1,1,1,1,3,1,10,1
2486,885909,429454,434906,2,1,29-Oct-09,925,3,1,1,1,1,3,2,34,1
2497,890009,428433,435000,2,1,31-Oct-09,30,6,2,7,1,1,3,1,22,1
2519,896509,432157,436142,2,1,02-Nov-09,2140,6,1,4,1,1,3,1,36,1
2572,914209,431574,435200,2,1,05-Nov-09,1130,3,2,1,1,1,3,1,33,1
2573,915409,428908,433712,2,1,05-Nov-09,1825,3,2,4,1,1,3,1,35,1
2593,916809,429651,432927,2,1,06-Nov-09,1720,6,2,4,2,1,3,1,30,1
2613,919209,427570,436880,2,1,08-Nov-09,1535,3,2,1,1,1,2,1,42,1
2618,921909,437049,435614,2,1,09-Nov-09,1400,6,1,1,1,1,3,1,30,1
2626,935609,429586,434806,2,1,10-Nov-09,810,3,2,1,2,1,3,1,24,1
2634,945109,428097,430025,2,1,10-Nov-09,1955,3,2,4,1,1,3,1,26,1
2660,959609,428907,435508,2,1,13-Nov-09,1905,3,1,7,1,1,2,1,20,1
2665,937209,427232,434728,2,1,14-Nov-09,1110,3,1,1,1,1,3,2,29,1
2708,970609,433903,434111,2,1,18-Nov-09,1719,3,1,4,1,1,3,1,44,1
2720,971609,433031,437105,2,1,20-Nov-09,900,6,2,1,1,1,3,1,55,1
2727,992609,427833,436514,2,1,20-Nov-09,1705,4,2,4,1,1,2,1,43,1
2750,988109,428717,435609,2,1,24-Nov-09,1200,3,1,1,1,1,3,2,19,1
2786,1010909,427946,436112,2,1,30-Nov-09,1545,3,1,1,1,1,3,1,46,1
2789,998209,425584,443070,2,1,01-Dec-09,800,3,4,1,1,1,3,1,37,1
2810,1025009,429779,430507,2,1,02-Dec-09,605,6,2,4,1,1,3,2,37,1
2826,1012909,431971,435839,2,1,04-Dec-09,735,3,2,7,1,1,3,1,28,1
2889,1031609,428433,434999,2,1,10-Dec-09,1210,6,2,1,1,1,3,1,19,1
2939,1046609,428526,434276,2,1,14-Dec-09,1955,6,2,4,2,1,3,1,21,1
2997,1079909,440400,449273,2,1,20-Dec-09,1030,4,2,1,1,1,3,1,41,1
3051,1102709,429247,433845,2,1,29-Dec-09,2000,6,2,4,2,1,3,1,19,1
3085,10BA0000020,428698,436765,3,1,04-Jan-10,815,6,Frost/ Ice,1,1,1,3,1,35,1
3123,10CA0000298,424277,428345,2,1,11-Jan-10,1320,3,Frost/ Ice,1,8,1,2,1,19,1
3128,10AA0000395,425412,440434,2,1,12-Jan-10,1420,6,2,1,2,1,3,1,35,1
3138,10BA0000388,436093,434819,2,1,14-Jan-10,1900,3,2,4,1,1,2,1,16,1
3154,10CA0000435,429972,433280,2,1,18-Jan-10,745,6,1,4,1,1,3,1,31,1
3156,10AA0000450,420069,440803,2,1,19-Jan-10,717,3,2,4,1,1,3,1,36,1
3161,10CA0000451,430636,433680,2,1,20-Jan-10,2013,6,1,4,1,1,3,1,37,1
3189,10BA0000517,440139,426162,2,1,24-Jan-10,920,3,2,1,1,1,3,1,42,1
3195,10AA0000604,427997,436012,2,1,26-Jan-10,1830,3,1,4,1,1,3,1,23,1
