"","Column","X","Reference.Number","Easting","Northing","Number.of.Vehicles","Number.of.Casualties","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Weather.Conditions","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty","Type.of.Vehicle","Latitude","Longitude"
"915",14596,14596,"481509",428000,436009,2,1,"16-Jun-09",1830,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",55,"Bicycle",53.8193907991,-1.57463886112
"920",14602,14602,"482809",428413,437837,2,1,"16-Jun-09",700,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",66,"Bicycle",53.8357997568,-1.56819603627
"926",14610,14610,"484609",426578,427694,2,1,"16-Jun-09",1900,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",40,"Bicycle",53.7447234612,-1.59695739164
"933",14622,14622,"487109",433186,433968,2,1,"16-Jun-09",2040,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",19,"Bicycle",53.8007397632,-1.49607907812
"935",14624,14624,"487309",429816,434396,2,1,"17-Jun-09",1545,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",18,"Bicycle",53.8047910189,-1.54720836038
"937",14628,14628,"487809",430082,435418,2,1,"19-Jun-09",2330,6,"Dry","Darkness: street lights present and lit","Unknown","Driver or rider","Slight","Male",31,"Bicycle",53.8139621634,-1.54306908198
"948",14645,14645,"494809",427708,434474,3,1,"19-Jun-09",1035,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",23,"Bicycle",53.8056087165,-1.57921285558
"949",14646,14646,"495209",428275,434565,2,1,"20-Jun-09",1150,6,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male",22,"Bicycle",53.8063961761,-1.57059402347
"951",14648,14648,"495909",418792,444757,2,1,"19-Jun-09",1715,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",13,"Bicycle",53.8984393362,-1.71398378425
"965",14669,14669,"503309",422833,433543,1,2,"25-Jun-09",755,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",31,"Bicycle",53.7974769772,-1.65331435716
"978",14689,14689,"509809",440219,432994,2,1,"23-Jun-09",1915,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",14,"Bicycle",53.7914887339,-1.3894180442
"986",14698,14698,"515409",423772,437592,2,2,"26-Jun-09",1150,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",46,"Bicycle",53.8338306007,-1.63874446567
"993",14713,14713,"517009",430091,434604,2,1,"29-Jun-09",935,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",25,"Bicycle",53.806644834,-1.54301197029
"994",14714,14714,"517309",437486,431651,2,1,"24-Jun-09",1330,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",17,"Bicycle",53.7796211212,-1.431069897
"999",14719,14719,"518809",429165,430536,2,1,"28-Jun-09",1700,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",10,"Bicycle",53.7701313169,-1.55745954075
"1000",14720,14720,"519309",430963,435867,2,1,"23-Jun-09",845,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",30,"Bicycle",53.8179463627,-1.52964242225
"1008",14729,14729,"523909",420429,440373,2,1,"30-Jun-09",945,3,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male",45,"Bicycle",53.8589706801,-1.68936107782
